gene,small,wt_mg,wt_ns,ratio
phnC,standard,79.66380125019643,0.6794184449878282,117.25292687869786
iraM,standard,247.30795443055482,3.397092224939141,72.79989416094976
phoR,standard,44.646745755604584,0.6794184449878282,65.71317880014934
ptrA,standard,72.66039015127805,1.3588368899756564,53.47248863149407
phoE,standard,242.93082249373083,5.435347559902626,44.69462528686628
eptA,standard,232.4257058453533,5.435347559902626,42.761884733920716
ydeT,standard,148.3847726583329,4.755929114914798,31.199954640407043
arnC,standard,20.134806909390306,0.6794184449878282,29.635355145165395
yciX,standard,38.95647423773342,1.3588368899756564,28.668984868692608
waaH,standard,58.215854759758926,2.038255334963485,28.561610393528962
rstB,standard,18.82166732834311,0.6794184449878282,27.702614592219824
phoQ,standard,54.714149210299745,2.038255334963485,26.84361879091068
ugpB,standard,288.4529946367002,10.870695119805251,26.534917174815206
phoB,standard,711.721652927579,29.214993134476615,24.361520458058102
appC,standard,162.39159485616963,6.794184449878282,23.90155817142687
otsB,standard,14.882248585201529,0.6794184449878282,21.904392933383114
argD,standard,199.59721631917347,10.870695119805251,18.36103525298291
cysD,standard,358.9248188195663,20.382553349634847,17.60941392683741
cbl,standard,35.01705549459183,2.038255334963485,17.17991602618283
ynaL,standard,21.0102332967551,1.3588368899756564,15.461924423564552
asr,standard,796.2002993082818,51.63580181907495,15.419539762315745
yriA,small,40.707327012463004,2.717673779951313,14.978739285328158
glsA,standard,10.067403454695151,0.6794184449878282,14.817677572582694
yciW,standard,119.05798868161224,8.15302133985394,14.60292862225541
yohC,standard,118.18256229424743,8.15302133985394,14.495554147091765
yeeE,standard,58.65356795344132,4.07651066992697,14.388179671928123
sbp,standard,96.29690261012755,6.794184449878282,14.173430721600841
ydgU,small,27.13821800830867,2.038255334963485,13.314434920291696
narU,standard,17.946240940978313,1.3588368899756564,13.207060445128054
arnB,standard,151.44876501410968,11.55011356479308,13.112318261160135
argA,standard,212.29089893596299,16.30604267970788,13.019155113591678
ais,standard,122.99740742475382,9.5118582298295955,12.930954651850115
ycaP,standard,17.50852774729592,1.3588368899756564,12.884937019637128
phoA,standard,156.26361014461605,12.229532009780907,12.777562544473485
ydeQ,standard,17.07081455361352,1.3588368899756564,12.5628135941462
yncG,standard,25.38736523357908,2.038255334963485,12.455439118982554
ilvB,standard,16.195388166248723,1.3588368899756564,11.918566743164343
yoaI,small,161.95388166248722,13.588368899756563,11.918566743164343
cysP,standard,758.5569646515956,63.86533382885585,11.877444603739969
yfcG,standard,48.14845130506377,4.07651066992697,11.811192268000699
lysA,standard,23.636512458849488,2.038255334963485,11.596443317673414
artP,standard,491.1142033116505,43.482780479221006,11.29445260627567
yhbW,standard,15.319961778883927,1.3588368899756564,11.274319892182486
dacD,standard,7.441124292600764,0.6794184449878282,10.952196466691557
ruvC,standard,7.441124292600764,0.6794184449878282,10.952196466691557
ydbL,standard,14.882248585201529,1.3588368899756564,10.952196466691557
argG,standard,217.98117045383418,20.382553349634847,10.694497726298815
argC,standard,64.78155266499489,6.114766004890454,10.594281549479415
ybhP,standard,7.003411098918367,0.6794184449878282,10.3079496157097
yobF,small,132.62709768576656,12.908950454768735,10.274041886710656
pstS,standard,490.6764901179681,48.91812803912363,10.030565554870293
nadD,standard,13.569109004154335,1.3588368899756564,9.985826190218772
gadE,standard,26.70050481462627,2.717673779951313,9.824764477473309
ydeS,standard,26.700504814626274,2.717673779951313,9.824764477473309
bcsB,standard,6.565697905235969,0.6794184449878282,9.663702764727844
pcm,standard,6.565697905235968,0.6794184449878282,9.663702764727844
yadW,small,13.131395810471938,1.3588368899756564,9.663702764727844
pagP,standard,75.28666931337244,8.15302133985394,9.234204864073273
pstA,standard,18.82166732834311,2.038255334963485,9.234204864073273
waaQ,standard,18.82166732834311,2.038255334963485,9.234204864073273
aroE,standard,6.127984711553571,0.6794184449878282,9.01945591374599
mgrB,small,2248.9703891401605,250.70540620050863,8.970569973834085
dtpD,standard,24.074225652531887,2.717673779951313,8.858394201000525
tatD,standard,71.78496376391327,8.15302133985394,8.804706963418703
bcr,standard,17.50852774729592,2.038255334963485,8.589958013091417
pstC,standard,377.308772954227,44.16219892420883,8.543704393020926
blc,standard,23.19879926516709,2.717673779951313,8.536270775509596
nudL,standard,23.19879926516709,2.717673779951313,8.536270775509596
insQ,standard,56.90271517871173,6.794184449878283,8.375209062764132
cysJ,standard,504.2455991221224,60.46824160391672,8.339015419450545
pdeR,standard,67.40783182708928,8.15302133985394,8.26783458760049
iaaA,standard,251.6850863673788,30.57383002445227,8.232043095879275
yhdN,standard,32.828489526179844,4.07651066992697,8.053085637273202
chaC,standard,43.333606174557396,5.435347559902626,7.972554780900472
mgtT,small,8622.949915543239,1082.3135828656104,7.9671456147787625
gadX,standard,31.953063138815047,4.07651066992697,7.838336686945918
rssB,standard,31.953063138815047,4.07651066992697,7.838336686945918
hisG,standard,105.9265928711403,13.588368899756563,7.795386896880462
cysW,standard,5.252558324188775,0.6794184449878282,7.730962211782276
glaR,standard,5.252558324188775,0.6794184449878282,7.730962211782276
ibsD,small,5.252558324188775,0.6794184449878282,7.730962211782276
ibsE,small,5.252558324188775,0.6794184449878282,7.730962211782276
ybdR,standard,5.252558324188775,0.6794184449878282,7.730962211782276
hisD,standard,73.09810334496045,9.5118582298295955,7.684944579569286
tqsA,standard,61.27984711553571,8.15302133985394,7.51621326145499
purF,standard,117.30713590688265,15.62662423472005,7.506876350571196
glcD,standard,60.84213392185331,8.15302133985394,7.462526023873169
speG,standard,196.53322396339667,26.497319354525303,7.417098361303935
ftsQ,standard,10.067403454695151,1.3588368899756564,7.408838786291347
ygbE,standard,24.94965203989668,3.397092224939141,7.344414101193162
yqhI,small,14.882248585201529,2.038255334963485,7.301464311127704
miaA,standard,96.73461580380994,13.588368899756563,7.118927703349513
speC,standard,140.06822197836735,19.70313490464702,7.108930769454967
appB,standard,4.814845130506377,0.6794184449878282,7.08671536080042
argH,standard,19.25938052202551,2.717673779951313,7.08671536080042
artJ,standard,96.29690261012755,13.588368899756565,7.08671536080042
cobC,standard,19.25938052202551,2.717673779951313,7.08671536080042
rcdA,standard,19.25938052202551,2.717673779951313,7.08671536080042
ydgD,standard,33.70391591354464,4.755929114914798,7.08671536080042
hrpB,standard,28.889070783038264,4.07651066992697,7.086715360800419
ydgI,standard,204.84977464336222,29.214993134476615,7.011802936267645
yodB,standard,37.64333465668622,5.435347559902626,6.925653648054956
phoH,standard,116.86942271320025,16.985461124695707,6.880556368486225
ydhJ,standard,163.26702124353443,23.779645574573987,6.8658307261780696
yebW,standard,50.77473046715816,7.473602894866111,6.793875883081394
dinQ,small,9.191977067330356,1.3588368899756564,6.764591935309491
yfbP,standard,4.37713193682398,0.6794184449878282,6.442468509818564
insD2,standard,4.377131936823979,0.6794184449878282,6.442468509818562
lhr,standard,4.377131936823979,0.6794184449878282,6.442468509818562
nhoA,standard,4.377131936823979,0.6794184449878282,6.442468509818562
recX,standard,4.377131936823979,0.6794184449878282,6.442468509818562
ugpA,standard,4.377131936823979,0.6794184449878282,6.442468509818562
yacH,standard,4.377131936823979,0.6794184449878282,6.442468509818562
ycaC,standard,13.131395810471938,2.038255334963485,6.442468509818562
yidD,standard,4.377131936823979,0.6794184449878282,6.442468509818562
patA,standard,21.0102332967551,3.397092224939141,6.184769769425821
yncJ,standard,310.3386543208201,50.27696492909929,6.172581315488325
rseA,standard,1264.99112974213,205.86378883131195,6.144796697483712
opgG,standard,83.1655067996556,13.588368899756565,6.120345084327635
ybiO,standard,8.31655067996556,1.3588368899756564,6.120345084327635
yfeO,standard,8.31655067996556,1.3588368899756564,6.120345084327635
iscX,standard,73.53581653864285,12.229532009780907,6.012970609163992
hemD,standard,12.25596942310714,2.038255334963485,6.012970609163991
mdlA,standard,12.25596942310714,2.038255334963485,6.012970609163991
argR,standard,163.26702124353443,27.17673779951313,6.00760188540581
pmrR,small,193.90694480130227,32.61208535941576,5.945861562186715
yddY,small,130.87624491103696,22.42080868459833,5.837266922532576
yeeD,standard,627.6807197405586,108.02753275306469,5.810377259798629
apaH,standard,15.757674972566326,2.717673779951313,5.798221658836708
folM,standard,19.697093715707908,3.397092224939141,5.798221658836708
ibsA,small,3.939418743141581,0.6794184449878282,5.798221658836707
insD3,standard,3.939418743141581,0.6794184449878282,5.798221658836707
insD4,standard,3.939418743141581,0.6794184449878282,5.798221658836707
insD5,standard,3.939418743141581,0.6794184449878282,5.798221658836707
insD6,standard,3.939418743141581,0.6794184449878282,5.798221658836707
mhpF,standard,3.939418743141581,0.6794184449878282,5.798221658836707
xylB,standard,3.939418743141581,0.6794184449878282,5.798221658836707
ydcK,standard,7.878837486283162,1.3588368899756564,5.798221658836707
btuE,standard,113.80543035742346,19.70313490464702,5.77600625018216
yjdC,standard,48.58616449874617,8.832439784841768,5.500876958383542
glsB,standard,56.02728879134693,10.191276674817423,5.497573128378507
recJ,standard,37.20562146300382,6.794184449878283,5.476098233345779
dosC,standard,87.54263873647959,16.30604267970788,5.368723758182136
yecE,standard,10.942829842059949,2.038255334963485,5.368723758182136
cpxP,standard,461.3497061412474,86.2861425134542,5.346741582164381
ampH,standard,202.22349548126783,38.04743291931838,5.315036520600314
ycgV,standard,71.78496376391327,13.588368899756565,5.282824178051222
ymgE,standard,100.23632135326913,19.02371645965919,5.2690188883873255
bepA,standard,105.4888796774579,20.382553349634847,5.17544970288758
ecpA,standard,7.003411098918367,1.3588368899756564,5.15397480785485
rzoQ,standard,3.5017055494591833,0.6794184449878282,5.15397480785485
tfaP,standard,3.5017055494591833,0.6794184449878282,5.15397480785485
thiQ,standard,3.5017055494591833,0.6794184449878282,5.15397480785485
ybbA,standard,10.50511664837755,2.038255334963485,5.15397480785485
ydbH,standard,3.5017055494591833,0.6794184449878282,5.15397480785485
pgpC,standard,108.99058522691708,21.741390239610503,5.013045809202569
yqgF,standard,13.569109004154335,2.717673779951313,4.992913095109386
yeaY,standard,314.71578625764414,63.18591538386803,4.980790170494137
waaO,standard,37.20562146300382,7.473602894866111,4.978271121223435
ydcL,standard,84.0409331870204,16.985461124695707,4.947815815540656
csdE,standard,30.202210364085456,6.114766004890454,4.939225857527565
yeeY,standard,10.067403454695153,2.038255334963485,4.939225857527565
yggC,standard,20.134806909390306,4.07651066992697,4.939225857527565
waaG,standard,10.067403454695151,2.038255334963485,4.939225857527564
rseB,standard,808.0185555377066,163.7398452420666,4.934770485114136
ykgS,small,56.90271517871173,11.55011356479308,4.926593566331842
yfhH,standard,80.10151444387883,16.30604267970788,4.9123822387366545
yodE,small,200.03492951285585,40.765106699269694,4.907013514978472
artQ,standard,6.565697905235969,1.3588368899756564,4.831851382363922
xynR,standard,6.565697905235968,1.3588368899756564,4.831851382363922
yfjF,standard,26.262791620943876,5.435347559902626,4.831851382363922
waaP,standard,49.02387769242856,10.191276674817423,4.810376487331194
opgB,standard,119.49570187529463,25.138482464549647,4.753497035622885
rmf,standard,2361.4626799165367,499.37255706605373,4.728859538839612
yafS,standard,19.25938052202551,4.07651066992697,4.7244769072002795
yegS,standard,38.51876104405102,8.15302133985394,4.7244769072002795
clcB,standard,22.323372877802296,4.755929114914798,4.693798485724954
yhdV,standard,120.80884145634182,25.817900909537475,4.679266601868219
yriB,small,85.79178596175,18.344298014671363,4.676754918238661
tcyJ,standard,399.1944326383469,86.96556095844201,4.590258813245726
gsiA,standard,34.14162910722704,7.473602894866111,4.568295852416799
amyA,standard,71.34725057023086,15.62662423472005,4.565749422175764
hscA,standard,187.7789600897487,41.444525144257526,4.530850804446169
aat,standard,278.8233043756875,61.827078493892365,4.509727956872995
cysI,standard,98.04775538485714,21.741390239610503,4.509727956872995
fepE,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
folK,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
hisA,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
hisM,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
insD1,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
moaE,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
pdxI,standard,15.319961778883927,3.397092224939141,4.509727956872995
sapF,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
waaF,standard,6.127984711553571,1.3588368899756564,4.509727956872995
ycbV,standard,3.0639923557767856,0.6794184449878282,4.509727956872995
yfdX,standard,6.127984711553571,1.3588368899756564,4.509727956872995
hyaF,standard,3.063992355776785,0.6794184449878282,4.509727956872994
livJ,standard,9.191977067330356,2.038255334963485,4.509727956872994
paaK,standard,9.191977067330356,2.038255334963485,4.509727956872994
yafL,standard,3.063992355776785,0.6794184449878282,4.509727956872994
ydaG,small,6.12798471155357,1.3588368899756564,4.509727956872994
trmD,standard,664.8863412035624,148.11322100734654,4.489041131382751
mgtS,small,9955.34887711246,2234.6072655649673,4.455077646315397
bfr,standard,60.40442072817091,13.588368899756565,4.445303271774808
osmF,standard,21.0102332967551,4.755929114914798,4.417692692447015
tomB,standard,122.12198103738902,27.85615624450096,4.384021254242388
dkgB,standard,50.33701727347576,11.55011356479308,4.3581404625243225
bcsG,standard,11.818256229424744,2.717673779951313,4.34866624412753
ydeP,standard,11.818256229424744,2.717673779951313,4.34866624412753
ycgZ,standard,88.41806512384439,20.382553349634847,4.337928796611166
glk,standard,188.2166732834311,43.482780479221006,4.328533530034347
cynR,standard,96.73461580380994,22.42080868459833,4.3145016383936445
fxsA,standard,38.08104785036862,8.832439784841768,4.3114981565708845
yhfG,standard,55.151862403982136,12.908950454768735,4.272373853879679
amiB,standard,40.269613818780606,9.5118582298295955,4.233622163595055
ldtC,standard,71.34725057023086,16.985461124695707,4.2004894684017025
rstA,standard,270.5067536957219,64.54475227384368,4.19099530428197
ahr,standard,39.831900625098214,9.5118582298295955,4.187604531382067
fbaB,standard,39.831900625098214,9.5118582298295955,4.187604531382067
bcsF,standard,5.690271517871173,1.3588368899756564,4.187604531382066
chbG,standard,22.76108607148469,5.435347559902626,4.187604531382066
fadE,standard,11.380543035742345,2.717673779951313,4.187604531382066
ycgB,standard,31.077636751450253,7.473602894866111,4.1583205836101635
gsiB,standard,14.006822197836733,3.397092224939141,4.123179846283881
pxpA,standard,14.006822197836733,3.397092224939141,4.123179846283881
wecB,standard,8.31655067996556,2.038255334963485,4.080230056218423
ydeM,standard,8.31655067996556,2.038255334963485,4.080230056218423
nimR,standard,44.209032561922186,10.870695119805251,4.066808246822967
psiF,standard,35.89248188195663,8.832439784841768,4.063710906193247
ynjB,standard,38.08104785036862,9.5118582298295955,4.003534002530107
yiaG,standard,40.707327012463004,10.191276674817423,3.994330476087509
uhpB,standard,51.212443660840556,12.908950454768737,3.967204292888273
ecpR,standard,21.4479464904375,5.435347559902626,3.9460119622638703
mntP,standard,91.04434428593876,23.10022712958616,3.9412748530654738
msyB,standard,307.71237515872576,78.13312117360024,3.9383090107847396
dgcQ,standard,24.074225652531887,6.114766004890454,3.9370640893335667
ydbJ,standard,392.19102153942856,99.87451141321075,3.926837948841791
alx,standard,29.32678397672066,7.473602894866111,3.924049001434943
yraQ,standard,148.8224858520153,38.04743291931838,3.9114987381041275
ldtA,standard,116.86942271320025,29.894411579464442,3.909407027548992
rhoL,small,42.4581797871926,10.870695119805251,3.905746534077504
gudX,standard,2.6262791620943875,0.6794184449878282,3.865481105891138
ibsB,small,10.50511664837755,2.717673779951313,3.865481105891138
malX,standard,2.6262791620943875,0.6794184449878282,3.865481105891138
mdtD,standard,2.6262791620943875,0.6794184449878282,3.865481105891138
moaD,standard,5.252558324188775,1.3588368899756564,3.865481105891138
msrP,standard,5.252558324188775,1.3588368899756564,3.865481105891138
phnN,standard,2.6262791620943875,0.6794184449878282,3.865481105891138
pphA,standard,5.252558324188775,1.3588368899756564,3.865481105891138
recO,standard,5.252558324188775,1.3588368899756564,3.865481105891138
rseC,standard,2.6262791620943875,0.6794184449878282,3.865481105891138
sxy,standard,5.252558324188775,1.3588368899756564,3.865481105891138
trmO,standard,10.50511664837755,2.717673779951313,3.865481105891138
ydhP,standard,70.90953737654847,18.344298014671363,3.865481105891138
ygiW,standard,26.262791620943872,6.794184449878282,3.865481105891138
yjcO,standard,2.6262791620943875,0.6794184449878282,3.865481105891138
pyrR,standard,7.878837486283163,2.038255334963485,3.8654811058911376
ybjC,standard,31.51534994513265,8.15302133985394,3.8654811058911376
paaJ,standard,7.878837486283162,2.038255334963485,3.865481105891137
tmcA,standard,7.878837486283162,2.038255334963485,3.865481105891137
yceM,standard,7.878837486283162,2.038255334963485,3.865481105891137
ydeI,standard,7.878837486283162,2.038255334963485,3.865481105891137
yfbN,standard,2.626279162094387,0.6794184449878282,3.865481105891137
yghB,standard,164.5801608245816,42.803362034233174,3.8450288249075872
ymiA,small,530.5083907430662,138.60136277751695,3.8275842323039697
yibF,standard,28.45135758935586,7.473602894866111,3.806913210347332
yphH,standard,43.771319368239794,11.55011356479308,3.7896873587168023
curA,standard,84.9163595743852,22.42080868459833,3.787390578499398
npr,standard,59.09128114712372,15.62662423472005,3.781448907936983
ytfF,standard,35.89248188195663,9.5118582298295955,3.773445841465158
cysE,standard,178.58698302241837,47.55929114914798,3.7550387885799625
yedA,standard,28.013644395673467,7.473602894866111,3.7483453148035277
osmY,standard,150.1356254330625,40.08568825428186,3.7453672862165552
gadW,standard,236.36512458849487,63.18591538386803,3.7407881669914236
dacC,standard,208.3514801928214,55.71231248900192,3.739774403260532
ytiA,standard,12.69368261678954,3.397092224939141,3.736631735694767
dnaC,standard,35.45476868827423,9.5118582298295955,3.7274282092521682
phoP,standard,864.4835575227359,233.04052663082507,3.709584637577744
hybD,standard,10.067403454695151,2.717673779951313,3.7044193931456735
tatB,standard,10.067403454695151,2.717673779951313,3.7044193931456735
yebE,standard,47.273024917698976,12.908950454768735,3.662034731896868
nagA,standard,54.71414921029974,14.947205789732221,3.6604934714878197
hemF,standard,22.323372877802292,6.114766004890454,3.6507321555638526
dadX,standard,7.441124292600764,2.038255334963485,3.650732155563852
ggt,standard,14.882248585201529,4.07651066992697,3.650732155563852
yoeB,standard,7.441124292600764,2.038255334963485,3.650732155563852
letA,standard,193.0315184139375,52.994638709050605,3.642472580551265
ytjA,standard,172.45899831086479,47.559291149147974,3.6261894183835914
uvrY,standard,98.04775538485713,27.17673779951313,3.607782365498395
yhjD,standard,29.326783976720662,8.15302133985394,3.597044917982031
tehA,standard,65.65697905235969,18.344298014671363,3.579149172121424
adhP,standard,19.25938052202551,5.435347559902626,3.54335768040021
cmoB,standard,4.814845130506377,1.3588368899756564,3.54335768040021
pncA,standard,4.814845130506377,1.3588368899756564,3.54335768040021
uhpC,standard,4.814845130506377,1.3588368899756564,3.54335768040021
insA4,standard,14.444535391519132,4.07651066992697,3.5433576804002094
pmrD,standard,556.3334691703278,158.30449768216397,3.5143250969868647
slp,standard,66.53240543972449,19.02371645965919,3.49734004818722
yfjD,standard,16.63310135993112,4.755929114914798,3.49734004818722
talA,standard,47.273024917698976,13.588368899756563,3.4789329953020243
yhbO,standard,23.636512458849488,6.794184449878282,3.4789329953020243
yidZ,standard,103.73802690272831,29.894411579464442,3.4701478109704533
yecN,standard,147.9470594646505,42.80336203423318,3.456435486220118
mepM,standard,53.83872282293495,15.62662423472005,3.4453201161203624
ecnA,small,7.003411098918367,2.038255334963485,3.4359832052365666
fecC,standard,7.003411098918367,2.038255334963485,3.4359832052365666
phnD,standard,14.006822197836733,4.07651066992697,3.4359832052365666
ycgY,standard,7.003411098918367,2.038255334963485,3.4359832052365666
ychO,standard,14.006822197836733,4.07651066992697,3.4359832052365666
ynjD,standard,7.003411098918367,2.038255334963485,3.4359832052365666
ybiR,standard,30.202210364085456,8.832439784841768,3.419464055211391
thiL,standard,30.202210364085452,8.832439784841768,3.4194640552113906
ytjB,standard,236.80283778217728,69.30068138875848,3.417034768442983
metI,standard,16.195388166248723,4.755929114914798,3.4053047837612405
ybjS,standard,318.6552050007857,93.7597454083203,3.3986355617013873
dnaK,standard,50.77473046715816,14.947205789732223,3.3969379415406964
rcsC,standard,43.771319368239794,12.908950454768735,3.3907728999045075
phnO,standard,36.767908269321424,10.870695119805251,3.3822959676547457
pspD,standard,137.44194281627296,40.765106699269694,3.3715585201383815
hokD,standard,130.43853171735458,38.726851364306206,3.368167747238477
inaA,standard,52.52558324188775,15.62662423472005,3.361287918166207
pabB,standard,131.7516712984018,39.40626980929404,3.343419002509289
yfdC,standard,65.65697905235969,19.70313490464702,3.3323112981820153
fumE,standard,85.79178596175,25.817900909537475,3.3229574419064165
aroC,standard,15.757674972566324,4.755929114914798,3.3132695193352606
wecF,standard,56.02728879134693,16.985461124695707,3.2985438770271043
yadX,small,78.35066166914923,23.779645574573987,3.2948624664500654
degP,standard,69.15868460181888,21.061971794622675,3.283580724359139
ydhI,standard,46.83531172401658,14.267787344744393,3.2825910978599344
ymdF,standard,46.83531172401658,14.267787344744393,3.2825910978599344
hisQ,standard,55.589575597664535,16.985461124695707,3.2727740029878296
yodC,standard,524.8181192251951,161.7015899071031,3.245596530786747
abpA,standard,79.22608805651403,24.45906401956182,3.239130000769889
ybjG,standard,980.9152670422537,303.02062646457136,3.2371237512339466
yeaG,standard,96.73461580380994,29.894411579464442,3.235876228795233
mrcB,standard,155.82589695093367,48.238709594135806,3.230308154218885
mrdB,standard,4.37713193682398,1.3588368899756564,3.221234254909282
acpS,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
arnF,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
essQ,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
hcr,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
ilvH,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
insB2,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
insB3,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
kduI,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
lpxK,standard,6.565697905235969,2.038255334963485,3.221234254909281
narJ,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
sufD,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
treA,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
yaaI,standard,4.377131936823979,1.3588368899756564,3.221234254909281
ydhT,standard,4.377131936823979,1.3588368899756564,3.221234254909281
ydhU,standard,6.565697905235969,2.038255334963485,3.221234254909281
ynaK,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
ynbA,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
ypdC,standard,2.1885659684119894,0.6794184449878282,3.221234254909281
yqeC,standard,4.377131936823979,1.3588368899756564,3.221234254909281
yqiA,standard,54.276436016617346,16.985461124695707,3.1954643808700074
ybgA,standard,30.202210364085456,9.5118582298295955,3.1752166226962917
ydgJ,standard,342.7294306533176,108.02753275306469,3.1726118510615944
ynfC,standard,28.013644395673467,8.832439784841768,3.171676804833754
yhbQ,standard,236.80283778217728,74.7360289486611,3.1685231489198573
metL,standard,34.14162910722704,10.870695119805251,3.14070339853655
eamA,standard,44.64674575560459,14.267787344744393,3.129198990483302
dusC,standard,29.764497170403057,9.5118582298295955,3.1291989904833017
relE,standard,14.882248585201529,4.755929114914798,3.1291989904833017
ygdR,standard,952.0261962592155,307.0971371344984,3.100081639127295
yfeY,standard,176.83613024768877,57.07114937897757,3.0985205690079756
dnaG,standard,54.71414921029974,17.664879569683535,3.097340629720463
mukE,standard,108.99058522691709,35.32975913936707,3.084951267201581
slt,standard,48.148451305063766,15.62662423472005,3.081180591652356
ybiJ,standard,18.82166732834311,6.114766004890454,3.078068288024425
moaA,standard,81.41465402492602,26.4973193545253,3.0725619046827
zraR,standard,70.90953737654847,23.10022712958616,3.06964676056061
insH5,standard,99.79860815958672,32.61208535941576,3.060172542163817
cvpA,standard,53.40100962925255,17.664879569683535,3.023004454607172
tcdA,standard,91.91977067330357,30.57383002445227,3.0064853045819966
ycjX,standard,24.511938846214285,8.153021339853938,3.0064853045819966
yigL,standard,12.25596942310714,4.07651066992697,3.0064853045819957
